prop_name,iva_count,instance_count,ivas
pb_AG05-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG06-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG07-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG08-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG09-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_AG10-F03-G1,16,19,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
Lable_IntLight,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
Lable_Staging,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
onStageReadyIndicator,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
pb_EXT_LIGHT-SH02-B2,16,18,DE_cupolaInternal; DE_KV1_ASET_IVA_Internal; DE_KV2_ASET_IVA_Internal; DE_KV3_ASET_IVA_Internal; DE_landerCabinSmallInternal; DE_MEM_ASET_IVA_Internal; DE_MissionControl; DE_Mk1-3; DE_mk1CockpitInternal; DE_mk1InlineInternal; DE_mk1pod_IVA; DE_mk2CockpitStandardInternals; DE_mk2InlineInternal; DE_mk2LanderCanInternal; DE_MK2POD_ASET_IVA_Internal; DE_MK3_Cockpit_Int
